,name_url,sortClass
884,cartier/Search Results.html,0
2569,poshmark/Nike for Women - Poshmark.html,0
1430,homedepot/Search Results for drill at The Home Depot.html,0
2107,officedepot/table - Office Depot.html,0
762,cartier/Search Results.html,0
1240,fnp/Send Roses _ Buy Roses Online _ Online Roses Delivery - Ferns N Petals.html,0
958,craigslist/norfolk_for_sale _car_ - craigslist.html,0
3337,spalding/Sporting.html,0
872,cartier/Search Results.html,0
3006,shopdisney/shopDisney _ shopDisney.html,0
428,bodenusa/Search.html,0
3621,szallas/Balaton accommodations - 3885 offers - Revngo.com.html,0
2232,oncewed/Search.html,0
120,asos/Marketplace.html,0
1052,dickssportinggoods/Search Results.html,0
317,bigstockphoto/Creativity.html,0
3629,szallas/Balaton accommodations - 3885 offers - Revngo.com.html,0
2327,petsmart/Search Results _ PetSmart.html,0
3135,shopjustice/Justice _ Justice.html,0
3874,thredup/Womens Clothing.html,0
586,bodenusa/Search.html,0
2381,petsmart/Search Results _ PetSmart.html,0
495,bodenusa/Search.html,0
472,bodenusa/Search.html,0
1192,fnp/Send Roses _ Buy Roses Online _ Online Roses Delivery - Ferns N Petals.html,0
1137,ebay/headphones _ eBay.html,0
1531,hoseasons/Holiday Lodges in All Regions – Log Cabins 2020 - Hoseasons.html,0
1985,microcenter/Laptops_Notebooks _ Micro Center.html,0
55,aeropostale/Sites-aeropostale-Site.html,0
101,asos/Marketplace.html,0
3190,shopjustice/Justice _ Justice.html,0
779,cartier/Search Results.html,0
1109,doverpublications/Search.html,0
127,asos/Marketplace.html,0
3548,szallas/Balaton accommodations - 3885 offers - Revngo.com.html,0
3823,thenewyorkdogshop/The New York Dog Shop.html,0
1095,discovery/SHORTS _ Discovery Store.html,0
525,bodenusa/Search.html,0
737,cartier/Search Results.html,0
700,booking/Booking.com _ Hotels in New York . Book your hotel now!.html,0
347,bodenusa/Search.html,0
