,URL name,sClass
577,priceline/Chicago Hotels_ 11_05 - 11_06 _ Priceline.html,0
568,preownedweddingdresses/Search.html,0
792,walmart/laptop computer - Walmart.com.html,0
610,puma/Search Result_ shoes.html,0
224,entirelypets/Entirely Pets - Search Results for food.html,0
403,marriott/Search Results.html,0
555,petsuppliesplus/Search.html,0
430,neutrogena/Search Results _ Neutrogena®.html,0
349,hrs/HRS – HOTEL RESERVATION SERVICE LTD. - Chicago (Illinois).html,0
267,freshdirect/FreshDirect - Search - onion.html,0
503,nhc/Search results for _Vitamin_.html,0
109,cdw/Search Results_ Showing results for ram _ CDW.html,0
410,metmuseum/Art.html,0
259,freshdirect/FreshDirect - Search - onion.html,0
800,"wotif/Chicago (and vicinity), Illinois, United States of America Hotel Search Results.html",0
513,nhc/Search results for _Vitamin_.html,0
174,countrystore/Search results for_ Red wine.html,0
56,bigbasket/Best Online Grocery Store in India. Save Big on Grocery Shopping _ bigbasket.com.html,0
690,tenthousandvillages/Search results for_table.html,0
335,homedepot/Search Results for drill at The Home Depot.html,0
387,leprix/Search Results for_ bag _ LePrix.html,0
292,gamestop/mjolnir _ Search Results _ GameStop.html,0
713,tenthousandvillages/Search results for_table.html,0
399,maccosmetics/Search _ MAC Cosmetics - Official Site _ MAC Cosmetics - Official Site.html,0
508,nhc/Search results for _Vitamin_.html,0
93,cartier/Search Results.html,0
198,discovery/SHORTS _ Discovery Store.html,0
394,liquidation/Shirts - auctions - Liquidation.com Auctions.html,0
185,countrystore/Search results for_ Red wine.html,0
8,aeropostale/Sites-aeropostale-Site.html,0
421,neutrogena/Search Results _ Neutrogena®.html,0
604,pruvo/Pruvo – Book your hotel - Hotels in Chicago.html,0
601,priceline/Chicago Hotels_ 11_05 - 11_06 _ Priceline.html,0
738,t-mobile/search.html,0
364,ihg/Select a Hotel.html,0
498,nhc/Search results for _Vitamin_.html,0
77,buybuybaby/Shirt _ buybuy BABY.html,0
593,priceline/Chicago Hotels_ 11_05 - 11_06 _ Priceline.html,0
546,petco/Search Results.html,0
264,freshdirect/FreshDirect - Search - onion.html,0
176,countrystore/Search results for_ Red wine.html,0
648,shopjustice/Justice _ Justice.html,0
406,marriott/Search Results.html,0
86,"canstockphoto/Cry Stock Photo Images. 113,363 Cry royalty free pictures and photos available to download from thousands of stock photographers..html",0
268,freshdirect/FreshDirect - Search - onion.html,0
5,aeropostale/Sites-aeropostale-Site.html,0
727,thredup/Womens Clothing.html,0
493,nhc/Search results for _Vitamin_.html,0
507,nhc/Search results for _Vitamin_.html,0
322,glyde/Buy Used Phones for Sale the Cheaper Way - Glyde.html,0
418,mrandmrssmith/Boutique.html,0
761,tripadvisor/Tripadvisor.html,0
733,tigerdirect/Laptop.html,0
611,puma/Search Result_ shoes.html,0
516,officedepot/table - Office Depot.html,0
107,cdw/Search Results_ Showing results for ram _ CDW.html,0
240,fashionphile/Shop Pre owned Designer Handbags _ Used Designer Bags _ Fashionphile.html,0
647,shopjustice/Justice _ Justice.html,0
99,cdw/Search Results_ Showing results for ram _ CDW.html,0
540,overstock/Kitchen.html,0
565,premierinn/Search.html,0
483,nhc/Search results for _Vitamin_.html,0
474,nhc/Search results for _Vitamin_.html,0
566,preownedweddingdresses/Search.html,0
424,neutrogena/Search Results _ Neutrogena®.html,0
151,coca-cola/Search results for_ BOTTLE OPENER _ Coca-Cola Store.html,0
524,oncewed/Search.html,0
665,"swansonvitamins/Vitamins and Supplements, Natural Health Products, Organic Foods - Swanson Health Products.html",0
795,walmart/laptop computer - Walmart.com.html,0
36,autoanything/Bumpers_AutoAnything.html,0
548,petco/Search Results.html,0
309,gbyliquidations/Search results for_ Shoe.html,0
216,ebid/car _ Items for Sale in United States.html,0
60,bodenusa/Search.html,0
441,neutrogena/Search Results _ Neutrogena®.html,0
50,bhphotovideo/nikon.html,0
324,glyde/Buy Used Phones for Sale the Cheaper Way - Glyde.html,0
381,kushiesonline/Kushies Baby USA.html,0
373,jossandmain/Table.html,0
581,priceline/Chicago Hotels_ 11_05 - 11_06 _ Priceline.html,0
184,countrystore/Search results for_ Red wine.html,0
740,toofaced/Search _ TooFaced.html,0
200,doverpublications/Search.html,0
438,neutrogena/Search Results _ Neutrogena®.html,0
227,etsy/Watch _ Etsy.html,0
230,etsy/Watch _ Etsy.html,0
491,nhc/Search results for _Vitamin_.html,0
14,aldoshoes/Search - shoes _ ALDO US.html,0
32,amextravel/American Express Hotels_ CHI - Search Results.html,0
103,cdw/Search Results_ Showing results for ram _ CDW.html,0
633,sellcell/Sell Apple iPhone 12 Pro _ Trade In iPhone 12 Pro.html,0
455,nhc/Search results for _Vitamin_.html,0
363,ihg/Select a Hotel.html,0
592,priceline/Chicago Hotels_ 11_05 - 11_06 _ Priceline.html,0
191,decluttr/Products by Decluttr.html,0
550,petco/Search Results.html,0
23,aldoshoes/Search - shoes _ ALDO US.html,0
313,"getaroom/Illingen, DE Hotels_ Cheap Rooms for Hotels in Illingen, DE at getaroom.html",0
61,bonanza/Buy executive office chair 199 items on Bonanza.html,0
768,usps/Shipping Supplies _ USPS.com.html,0
728,thriftbooks/Browse.html,0
732,tigerdirect/Laptop.html,0
251,freshdirect/FreshDirect - Search - onion.html,0
480,nhc/Search results for _Vitamin_.html,0
461,nhc/Search results for _Vitamin_.html,0
746,tradesy/Womens Shoes.html,0
294,gamestop/mjolnir _ Search Results _ GameStop.html,0
98,cdw/Search Results_ Showing results for ram _ CDW.html,0
717,thellegance/Online shopping for Digital Watches with free worldwide shipping.html,0
248,fragrancenet/Discount.html,0
702,tenthousandvillages/Search results for_table.html,0
180,countrystore/Search results for_ Red wine.html,0
725,thredup/Womens Clothing.html,0
289,gamestop/mjolnir _ Search Results _ GameStop.html,0
714,tenthousandvillages/Search results for_table.html,0
341,"hotelscombined/Chicago, 11_18 — 12_8.html",0
521,oncewed/Search.html,0
254,freshdirect/FreshDirect - Search - onion.html,0
583,priceline/Chicago Hotels_ 11_05 - 11_06 _ Priceline.html,0
358,icing/Search Page _ Icing US.html,0
173,countrystore/Search results for_ Red wine.html,0
300,"gazelle/Buy Certified Pre-Owned iPhones, Cell Phones and iPads _ Gazelle.html",0
796,wayfair/Wayfair.html,0
603,pruvo/Pruvo – Book your hotel - Hotels in Chicago.html,0
798,wayfair/Wayfair.html,0
303,gbyliquidations/Search results for_ Shoe.html,0
526,onetravel/Onetravel _ Hotels in Chicago . Book your hotel now!.html,0
235,fandango/Movie Times and Movie Theaters in 23508 - Local Showtimes - Fandango _ Fandango.html,0
376,"kayak/Book now_ Chicago, 11_26 — 11_30.html",0
443,neutrogena/Search Results _ Neutrogena®.html,0
67,bonanza/Buy executive office chair 199 items on Bonanza.html,0
676,szallas/Balaton accommodations - 3885 offers - Revngo.com.html,0
466,nhc/Search results for _Vitamin_.html,0
54,bhphotovideo/nikon.html,0
270,freshdirect/FreshDirect - Search - onion.html,0
591,priceline/Chicago Hotels_ 11_05 - 11_06 _ Priceline.html,0
779,veneretravel/Venere Travel.html,0
505,nhc/Search results for _Vitamin_.html,0
116,cdw/Search Results_ Showing results for ram _ CDW.html,0
141,coca-cola/Search results for_ BOTTLE OPENER _ Coca-Cola Store.html,0
366,ikea/table - Search - IKEA.html,0
673,szallas/Balaton accommodations - 3885 offers - Revngo.com.html,0
286,freshdirect/FreshDirect - Search - onion.html,0
199,discovery/SHORTS _ Discovery Store.html,0
232,"expedia/Chicago, Illinois, United States of America Hotel Search Results.html",0
595,priceline/Chicago Hotels_ 11_05 - 11_06 _ Priceline.html,0
345,hotwire/Hotels.html,0
669,sykescottages/Search and Find a Cottage in UK and Ireland _ Sykes Cottages.html,0
785,vitaminshoppe/Search.html,0
82,buybuybaby/Shirt _ buybuy BABY.html,0
504,nhc/Search results for _Vitamin_.html,0
74,buybuybaby/Shirt _ buybuy BABY.html,0
679,szallas/Balaton accommodations - 3885 offers - Revngo.com.html,0
545,petco/Search Results.html,0
329,hallmark/Search for _birthday_ - Hallmark.html,0
482,nhc/Search results for _Vitamin_.html,0
723,thomascook/Thomas Cook.html,0
720,thenewyorkdogshop/The New York Dog Shop.html,0
217,ebid/car _ Items for Sale in United States.html,0
510,nhc/Search results for _Vitamin_.html,0
160,concordsupplies/Isabella Management LLC DBA Concordsupplies..html,0
129,"choicehotels/Hotels in Illinois City, IL – Choice Hotels.html",0
395,listia/car - Listia.com Auctions for Free Stuff.html,0
62,bonanza/Buy executive office chair 199 items on Bonanza.html,0
181,countrystore/Search results for_ Red wine.html,0
477,nhc/Search results for _Vitamin_.html,0
348,hrs/HRS – HOTEL RESERVATION SERVICE LTD. - Chicago (Illinois).html,0
83,buybuybaby/Shirt _ buybuy BABY.html,0
